client_id,nom
1,oka Care France
2,ZenHealth
3,TheraMind
4,Espace SPA
5,Jeux et Joie
6,Passion Exploration
7,Madame Yoga
8,Souffle de Voyage
9,Fêtes en Folie
10,Café Fort
11,Artisan Écolo
12,Sérénité Conseil
13,NovaTech Solutions
14,Bleu Horizon
15,Vitalis Santé
16,OptiFinance
17,GreenPulse
18,Urban Innov
19,Cuisine Créative
20,Énergie Positive
21,Digitalis
22,Bulle de Bien-être
23,ÉcoMouv
24,Lumière Consulting
25,AgroFutur
26,Mobilis France
27,Savoir-Faire
28,Réseau Pro
29,InnovaLab
30,Cœur de Ville
